,t_add,prev,foll,skip,loop,net_trans,net_places,net_nodes,n_nets_found,n_nodes_used,time_finding_nets,time_conf_tran,f1_tran,precision_tran,fitness_tran
0,a,set(),"{'b', 'e'}",False,False,9,13,22,3,5,0.012267600046470761,1.0200385999633,0.8018735947592881,0.675,0.9874814847221615
6,b,{'a'},{'c'},False,False,8,12,20,2,3,0.005808099987916648,0.5841207999037579,0.8327899018075112,0.72,0.9874814847221615
2,c,{'b'},"{'f', 'd'}",False,False,8,12,20,4,7,0.031167999957688153,1.3440567000070587,0.8327899018075112,0.72,0.9874814847221615
7,d,{'c'},{'h'},False,False,7,10,17,3,5,0.00937549991067499,1.4715480000013486,0.840575294079071,0.725,0.999987500156248
1,e,{'a'},{'f'},False,False,7,10,17,3,5,0.017340799910016358,0.8746521999128163,0.840575294079071,0.725,0.999987500156248
3,f,"{'c', 'e'}",{'g'},False,False,7,10,17,3,7,0.029113000025972724,1.500907800043933,0.8731913670725798,0.782608695652174,0.9874876564042949
4,g,{'f'},{'h'},False,False,8,11,19,2,3,0.0038150999462231994,0.7968520999420434,0.9937013172831703,1.0,0.9874814847221615
5,h,"{'g', 'd'}",set(),False,False,9,13,22,2,5,0.004907199996523559,0.4991946999216452,0.82326755587668,0.7058823529411764,0.9874814847221615
