,t_add,prev,foll,skip,loop,net_trans,net_places,net_nodes,n_nets_found,n_nodes_used,time_finding_nets,time_conf_tran,f1_tran,precision_tran,fitness_tran
0,a,set(),"{'b', 'e'}",False,False,9,13,22,3,5,0.05684460001066327,1.5980223000515252,0.8018735947592881,0.675,0.9874814847221615
2,b,{'a'},{'c'},False,False,8,12,20,2,3,0.024347900063730776,1.4332227999111637,0.8327899018075112,0.72,0.9874814847221615
3,c,{'b'},"{'f', 'd'}",False,False,8,12,20,4,7,0.1199443000368774,2.3287460999563336,0.8327899018075112,0.72,0.9874814847221615
4,d,{'c'},{'h'},False,False,7,10,17,3,5,0.032871500006876886,1.5277514000190422,0.840575294079071,0.725,0.999987500156248
1,e,{'a'},{'f'},False,False,7,10,17,3,5,0.08064619998913258,1.6243521999567747,0.840575294079071,0.725,0.999987500156248
5,f,"{'e', 'c'}",{'g'},False,False,7,10,17,3,7,0.10365020006429404,1.5714280999964103,0.8731913670725798,0.782608695652174,0.9874876564042949
7,g,{'f'},{'h'},False,False,8,11,19,2,3,0.0192916999803856,1.324802599963732,0.9937013172831703,1.0,0.9874814847221615
6,h,"{'d', 'g'}",set(),False,False,9,13,22,2,5,0.02288760000374168,1.0205590999685228,0.82326755587668,0.7058823529411764,0.9874814847221615
